Failure Type
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Tool Wear Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Random Failures
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Tool Wear Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Tool Wear Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
Tool Wear Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Tool Wear Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Tool Wear Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Random Failures
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Tool Wear Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Random Failures
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Random Failures
Tool Wear Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Tool Wear Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Tool Wear Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Heat Dissipation Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Tool Wear Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Random Failures
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Power Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Tool Wear Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
Overstrain Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
No Failure
